Seq.,Grp,Sub-Cat,Stock,Description_x,Package,On Hand /cs_x,Shelf Life_x,Arrive Date_x,Lot Number_x,On Hand /cs_y,Shelf Life_y,Arrive Date_y,Lot Number_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,L,17010 * SHOCHIKUBAI SAKE *,458,SCB GOKAI JUNMAI,"30/180ml(+4),JM",458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,L,17010 * SHOCHIKUBAI SAKE *,459,SCB GOKAI JUNMAI,"30/120ml(+4),JM",459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,L,17010 * SHOCHIKUBAI SAKE *,600,SCB TOKUBETSU JUNMAI,12/300ml (+5),600,3/26/2021 0:00,6/4/2020 0:00,CK20-3131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,L,17010 * SHOCHIKUBAI SAKE *,630,SCB TOKUBETSU JUNMAI,12/720ml (+5),,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,L,17010 * SHOCHIKUBAI SAKE *,1570,ETO KOTOBUKI SCB W/NO BOX,6/1.5LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,L,17010 * SHOCHIKUBAI SAKE *,2863,YUKI NIGORI WHITE PEACH,12/375ml (-30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,L,17010 * SHOCHIKUBAI SAKE *,2878,YUKI NIGORI LYCHEE,12/375ml (-30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,L,17010 * SHOCHIKUBAI SAKE *,2964,YUKI NIGORI COFFEE,12/375ml (-30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,L,17010 * SHOCHIKUBAI SAKE *,3265,SCB ORGANIC SAKE 300ML.,12/300ml (NAMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,L,17010 * SHOCHIKUBAI SAKE *,4167,SCB CHOKARA NO BOX(+7),6/1.5 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,L,17010 * SHOCHIKUBAI SAKE *,4175,SCB REI JUNMAI GINJO,12/300ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,L,17010 * SHOCHIKUBAI SAKE *,4853,SCB 300-GINJYO SAKE(+6),12/300 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,L,17010 * SHOCHIKUBAI SAKE *,6444,SCB JUNMAI DAIGINJO,6/720ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,L,17010 * SHOCHIKUBAI SAKE *,6470,SCB NIGORI SILKY MILD (-20),12/750ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,L,17010 * SHOCHIKUBAI SAKE *,6480,SCB CHOKARA SAKE (+7),18 LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,L,17010 * SHOCHIKUBAI SAKE *,6600,SCB NIGORI SILKY MILD (-20),12/375 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,L,17010 * SHOCHIKUBAI SAKE *,6735,SCB TOKUBETSU JUNMAI,6/1.8L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,L,17010 * SHOCHIKUBAI SAKE *,6736,SCB CREME DE SAKE NIGORI (-15),12/300ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,L,17010 * SHOCHIKUBAI SAKE *,7014,SCB KINPAKU TOKUBETSU JUNMAI,6/1.8Ltr. (+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,L,17010 * SHOCHIKUBAI SAKE *,8249,SCB YUKI NIGORI MANGO,12/375ml(-30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,L,17010 * SHOCHIKUBAI SAKE *,8691,SCB REI JUNMAI DAIGINJO,12/300ml(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,L,17010 * SHOCHIKUBAI SAKE *,8763,SCB SHO ORGANIC JUNMAI,"12/720ml (+3), JM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,L,17010 * SHOCHIKUBAI SAKE *,8840,SHIRAKABE-GURA JUNMAI DAIGINJO,6/640ml (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
